"","Age","Attrition","BusinessTravel","Department","DistanceFromHome","Education","EducationField","EmployeeID","Gender","JobLevel","JobRole","MaritalStatus","MonthlyIncome","NumCompaniesWorked","PercentSalaryHike","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","YearsAtCompany","YearsSinceLastPromotion","YearsWithCurrManager","EnvironmentSatisfaction","JobSatisfaction","WorkLifeBalance","JobInvolvement","PerformanceRating","nhrs","nleaves","novertime","consecutive_holidays"
"1",51,"No","Travel_Rarely","Sales",6,2,"Life Sciences",1,"Female",1,"Healthcare Representative","Married",131160,1,11,0,1,6,1,0,0,3,4,2,3,3,7.37365062260536,29,0,3
"2",31,"Yes","Travel_Frequently","Research & Development",10,1,"Life Sciences",2,"Female",1,"Research Scientist","Single",41890,0,23,1,6,3,5,1,4,3,2,4,2,4,7.71896892655367,25,42,3
"3",32,"No","Travel_Frequently","Research & Development",17,4,"Other",3,"Male",4,"Sales Executive","Married",193280,1,15,3,5,2,5,0,3,2,2,1,3,3,7.01324035812672,19,0,3
"4",38,"No","Non-Travel","Research & Development",2,5,"Life Sciences",4,"Male",3,"Human Resources","Married",83210,3,11,3,13,5,8,7,5,4,4,3,2,3,7.19367848699764,26,0,4
"5",32,"No","Travel_Rarely","Research & Development",10,1,"Medical",5,"Male",1,"Sales Executive","Single",23420,4,12,2,9,2,6,0,4,4,1,3,3,3,8.0061746031746,16,115,3
"6",46,"No","Travel_Rarely","Research & Development",8,3,"Life Sciences",6,"Female",4,"Research Director","Married",40710,3,13,0,28,5,7,7,7,3,2,2,3,3,10.7960958743554,24,237,3
"7",28,"Yes","Travel_Rarely","Research & Development",11,2,"Medical",7,"Male",2,"Sales Executive","Single",58130,2,20,1,5,2,0,0,0,1,3,1,3,4,6.92357040229885,29,1,3
"8",29,"No","Travel_Rarely","Research & Development",18,3,"Life Sciences",8,"Male",2,"Sales Executive","Married",31430,2,22,3,10,2,0,0,0,1,2,3,3,4,6.7256207133059,18,0,4
"9",31,"No","Travel_Rarely","Research & Development",1,3,"Life Sciences",9,"Male",3,"Laboratory Technician","Married",20440,0,21,0,10,2,9,7,8,2,4,3,3,4,7.23649879227053,31,1,4
"10",25,"No","Non-Travel","Research & Development",7,4,"Medical",10,"Female",4,"Laboratory Technician","Divorced",134640,1,13,1,6,2,6,1,5,2,1,3,3,3,7.08008784425451,27,0,4
"11",45,"No","Travel_Rarely","Research & Development",17,2,"Medical",11,"Male",2,"Laboratory Technician","Married",79910,0,13,2,21,2,20,4,10,3,4,3,2,3,8.40348547717842,20,222,3
"13",55,"No","Travel_Rarely","Research & Development",14,4,"Life Sciences",13,"Female",1,"Sales Executive","Single",55380,0,17,0,37,2,36,4,13,4,1,3,3,3,9.30140950994663,32,229,3
"14",47,"Yes","Non-Travel","Research & Development",1,1,"Medical",14,"Male",1,"Research Scientist","Married",57620,1,11,2,10,4,10,9,9,1,2,2,2,3,9.39993144208038,26,235,3
"15",28,"No","Travel_Rarely","Research & Development",1,3,"Life Sciences",15,"Male",1,"Manufacturing Director","Married",25920,1,14,0,5,2,5,0,4,4,4,2,3,3,6.08968764407561,20,0,3
"16",37,"No","Travel_Rarely","Research & Development",1,3,"Life Sciences",16,"Male",2,"Healthcare Representative","Married",53460,4,11,0,7,2,5,0,1,3,4,4,3,3,6.70517463666198,24,0,3
"17",21,"No","Travel_Rarely","Research & Development",3,2,"Life Sciences",17,"Male",1,"Laboratory Technician","Single",42130,1,12,3,3,3,3,1,0,4,3,4,2,3,6.61904062652961,34,0,3
"18",37,"No","Non-Travel","Research & Development",1,3,"Medical",18,"Male",2,"Sales Executive","Divorced",41270,2,13,1,15,2,5,0,2,1,4,3,3,3,11.0143281391147,15,246,3
"19",35,"No","Travel_Rarely","Sales",7,4,"Life Sciences",19,"Male",1,"Sales Representative","Divorced",24380,7,16,0,10,5,7,6,2,2,2,2,2,3,6.96025383141762,29,0,4
"20",38,"No","Travel_Rarely","Research & Development",8,3,"Life Sciences",20,"Female",1,"Manager","Divorced",68700,1,11,1,8,5,8,7,7,1,1,3,3,3,9.2935557960558,30,231,3
"21",26,"No","Travel_Frequently","Research & Development",1,4,"Other",21,"Male",2,"Laboratory Technician","Divorced",104470,1,18,0,6,3,6,1,4,3,2,1,3,3,7.59077825670498,29,27,3
"22",50,"No","Travel_Rarely","Sales",8,4,"Life Sciences",22,"Male",1,"Research Scientist","Divorced",96670,3,23,0,28,2,10,1,6,1,2,2,2,4,6.00861349546972,28,0,3
"23",53,"No","Travel_Rarely","Research & Development",11,4,"Life Sciences",23,"Female",2,"Research Scientist","Married",21480,3,11,0,21,2,5,1,3,3,3,2,3,3,8.40210847701149,29,210,3
"25",29,"No","Travel_Frequently","Research & Development",16,4,"Medical",25,"Male",1,"Laboratory Technician","Single",65130,1,11,1,10,2,10,0,9,2,4,2,3,3,7.09316738816739,30,1,3
"26",55,"No","Travel_Rarely","Research & Development",1,4,"Other",26,"Female",1,"Research Scientist","Married",67990,3,11,0,12,2,10,0,8,2,4,3,3,3,9.3620020746888,20,241,4
"27",26,"No","Travel_Frequently","Research & Development",9,3,"Life Sciences",27,"Female",1,"Manager","Married",162910,1,22,0,5,3,5,3,3,1,1,3,3,4,10.9771234309623,22,239,3
"28",37,"No","Travel_Rarely","Sales",5,1,"Marketing",28,"Male",1,"Research Scientist","Single",27050,1,11,0,17,2,17,5,7,4,4,3,3,3,7.60444444444444,25,22,4
"29",44,"Yes","Travel_Frequently","Research & Development",1,2,"Medical",29,"Male",2,"Research Scientist","Divorced",103330,3,14,1,19,2,1,0,0,4,3,1,2,3,10.977585733882,18,243,3
"30",38,"No","Travel_Rarely","Sales",2,3,"Marketing",30,"Female",1,"Manager","Divorced",44480,9,12,0,10,3,2,1,2,4,4,3,2,3,6.83127536231884,31,0,3
"31",26,"Yes","Travel_Rarely","Research & Development",4,3,"Medical",31,"Male",3,"Research Scientist","Divorced",68540,2,11,0,5,5,3,0,2,1,2,3,2,3,10.1094082633053,23,238,3
"32",28,"No","Travel_Rarely","Research & Development",7,3,"Other",32,"Male",1,"Human Resources","Single",96370,1,13,0,5,6,5,0,2,4,4,3,2,3,6.70966597796143,19,0,3
"33",49,"No","Travel_Frequently","Research & Development",1,1,"Medical",33,"Female",2,"Research Scientist","Single",35910,9,13,0,22,2,3,1,2,3,1,3,3,3,10.5182146248813,27,234,3
"34",36,"No","Travel_Rarely","Sales",5,3,"Technical Degree",34,"Male",3,"Sales Executive","Single",54050,4,14,0,10,2,8,7,7,3,2,3,3,3,6.18288751714678,18,0,3
"35",31,"No","Travel_Frequently","Research & Development",9,4,"Medical",35,"Male",1,"Sales Executive","Divorced",46840,1,16,1,2,4,2,2,2,4,2,2,3,3,6.58638888888889,21,0,3
"36",26,"Yes","Travel_Rarely","Research & Development",8,3,"Medical",36,"Male",2,"Manager","Single",157870,1,12,2,8,5,8,7,4,4,4,3,3,3,10.2722413793103,29,232,3
"37",37,"No","Travel_Frequently","Sales",9,1,"Marketing",37,"Male",1,"Laboratory Technician","Married",15140,1,14,0,4,3,4,1,2,2,4,2,3,3,9.98273301193756,19,242,3
"38",42,"No","Travel_Frequently","Sales",2,2,"Marketing",38,"Male",3,"Research Director","Married",29560,5,13,0,23,2,20,4,8,3,2,4,3,3,5.97956763285024,31,0,3
"39",18,"Yes","Travel_Rarely","Research & Development",1,4,"Life Sciences",39,"Male",1,"Sales Executive","Single",23350,1,14,2,0,3,0,0,0,3,3,3,2,3,6.77596793930494,34,0,3
"40",35,"No","Travel_Rarely","Sales",20,2,"Life Sciences",40,"Male",1,"Laboratory Technician","Married",51540,0,19,0,12,2,11,6,9,3,2,2,2,3,7.69016039051604,22,34,3
"42",51,"No","Travel_Rarely","Research & Development",2,3,"Life Sciences",42,"Male",2,"Laboratory Technician","Divorced",56750,5,13,0,13,2,4,1,2,4,2,3,2,3,7.5947695035461,26,26,3
"43",41,"No","Travel_Rarely","Research & Development",29,1,"Life Sciences",43,"Male",1,"Laboratory Technician","Single",23790,1,12,0,22,6,22,0,4,4,2,3,3,3,6.95264233241506,19,0,3
